Indice;AdressStart;AdressEnd;profil;preferNetwork;startFrom;withTrafficEvents;assertion1
1;Château de Vincennes (METRO);La défense (METRO);rvbFaster;metro;true;false;Metro , 1 , Château de Vincennes , Esplanade de la Défense       
2;Gallieni (METRO);Pont de  Levallois Becon  (METRO);rvbFaster;metro;true;false;Metro , 3 , Gallieni (Parc de Bagnolet) , Pont de Levallois-Bécon       
3;Porte des Lilas (METRO);Gambetta  (METRO);rvbFaster;metro;true;false;Metro , 3B , Porte des Lilas , Gambetta
4;Porte de Clignancourt (METRO);Mairie de Montrouge (METRO);rvbFaster;metro;true;false;Metro , 4 , Porte de Clignancourt , Mairie de Montrouge       
5;Place d'Italie (METRO);Bobigny Pablo Picasso (METRO);rvbFaster;metro;true;false;Metro , 5 , Place d'Italie , Bobigny-Pablo-Picasso       
6;Villejuif Louis Aragon (METRO);La courneuve (METRO);rvbFaster;metro;true;false;Metro , 7 , Villejuif-Louis Aragon , La Courneuve-8-Mai-1945       
7;Mairie d'ivry  (METRO);La courneuve (METRO);rvbFaster;metro;true;false;Metro , 7 , Mairie d'Ivry , La Courneuve-8-Mai-1945       
8;Créteil Pointe du lac (METRO);Balard (METRO);rvbFaster;metro;true;false;Metro , 8 , Pointe du Lac , Balard       
9;Mairie de Montreuil (METRO);Pont de Sèvres (METRO);rvbFaster;metro;true;false;Metro , 9 , Mairie de Montreuil , Pont de Sèvres       
10;Gare d'Austerlitz (METRO);Boulogne Pont de Saint-cloud (METRO);rvbFaster;metro;true;false;Metro , 10 , Gare d'Austerlitz , Boulogne Pont de Saint-Cloud       
11;Châtelet (METRO);Mairie des Lilas (METRO);rvbFaster;metro;true;false;Metro , 11 , Châtelet , Mairie des Lilas       
12;Mairie d'issy (METRO);Front Populaire (METRO);rvbFaster;metro;true;false;Metro , 12 , Mairie d'Issy , Front Populaire       
13;Chatillon-Montrouge (METRO);Saint-Denis Université (METRO);rvbFaster;metro;true;false;Metro , 13 , Châtillon Montrouge , Saint-Denis-Université       
14;Chatillon-Montrouge (METRO);Asnière Genevilliers Les courtilles  (METRO);rvbFaster;metro;true;false;Metro , 13 , Châtillon Montrouge , Asnières-Gennevilliers Les Courtilles       
15;Olympiades (METRO);Saint-Lazare (METRO);rvbFaster;metro;true;false;Metro , 14 , Olympiades,  Saint-Lazare       
16;Marne la vallée (RER);Cergy (RER);rvbFaster;rail;true;false;RER , A , Marne-la-Vallée Chessy , Cergy-Le-Haut       
17;Marne la vallée (RER);Poissy (RER);rvbFaster;rail;true;false;RER , A , Marne-la-Vallée Chessy , Poissy       
18;Boissy-St-Léger (RER);Saint-Germain en-Laye (RER);rvbFaster;rail;true;false;RER , A , Boissy-Saint-Léger , Saint-Germain-en-Laye       
19;Fontenay aux Roses (RER);Aéroport Charles de Gaulle (RER);rvbFaster;rail;true;false;
20;Fontenay aux Roses (RER);Mitry-Claye (RER);rvbFaster;rail;true;false;
21;Saint-Rémy Lès Chevreuse (RER);Aéroport Charles de Gaulle (RER);rvbFaster;rail;true;false;RER , B , Saint-Rémy-lès-Chevreuse , Aéroport Charles de Gaulle 1       
22;Choisy-le-Roi (RER);Viroflay Rive-gauche (RER);rvbFaster;rail;true;false;RER , C , Choisy-le-Roi , Viroflay-Rive Gauche       
23;Choisy-le-Roi (RER);Epinay sur-Seine (RER);rvbFaster;rail;true;false;RER , C , Choisy-le-Roi , Epinay-sur-Seine       
24;Haussmann Saint-Lazare (RER);Chelles Gournay (RER);rvbFaster;rail;true;false;RER , E , Haussmann-Saint-Lazare , Chelles Gournay       
25;Haussmann Saint-Lazare (RER);Tournan (RER);rvbFaster;rail;true;false;RER , E , Haussmann-Saint-Lazare , Tournan       
26;Creil (RER);Malesherbes (RER);rvbFaster;rail;true;false;
27;Creil (RER);Melun (RER);rvbFaster;rail;true;false;
