Indice;AdressStart;AdressEnd;profil;preferNetwork;startFrom;withTrafficEvents;date;AssertionImpactPerturbation
1;Château de vincennes (Metro);Porte de vincennes (Metro);rvbFaster;metro,rail,tram;true;false;2016-12-9T09:00:00;normal
2;Château de vincennes (Metro);Porte de vincennes (Metro);rvbFaster;metro,rail,tram;true;false;2016-12-10T09:00:00;critical
3;Château de vincennes (Metro);Porte de vincennes (Metro);rvbFaster;metro,rail,tram;true;false;2016-12-20T09:00:00;critical
4;Château de vincennes (Metro);Porte de vincennes (Metro);rvbFaster;metro,rail,tram;true;false;2016-12-21T09:00:00;normal
5;Château de vincennes (Metro);Porte de vincennes (Metro);rvbFaster;metro,rail,tram;true;false;2016-12-21T00:15:00;critical
6;Château de vincennes (Metro);Bastilles (Metro);rvbFaster;metro,rail,tram;true;false;2016-12-9T09:00:00;normal
7;Château de vincennes (Metro);Bastilles (Metro);rvbFaster;metro,rail,tram;true;false;2016-12-10T09:00:00;critical
8;Château de vincennes (Metro);Bastilles (Metro);rvbFaster;metro,rail,tram;true;false;2016-12-20T09:00:00;critical
9;Château de vincennes (Metro);Porte de vincennes (Metro);rvbFaster;metro,rail,tram;true;false;2016-12-21T09:00:00;normal
10;Château de vincennes (Metro);Porte de vincennes (Metro);rvbFaster;metro,rail,tram;true;false;2016-12-21T00:15:00;critical
11;Père lachaise (Metro);Belleville (Metro);rvbFaster;metro,rail,tram;true;false;2016-12-9T08:15:00;normal
12;Père lachaise (Metro);Belleville (Metro);rvbFaster;metro,rail,tram;true;false;2016-12-10T08:15:00;normal
13;Père lachaise (Metro);Belleville (Metro);rvbFaster;metro,rail,tram;true;false;2016-12-10T10:15:00;normal
14;Père lachaise (Metro);Belleville (Metro);rvbFaster;metro,rail,tram;true;false;2016-12-11T10:15:00;normal
15;Père lachaise (Metro);Belleville (Metro);rvbFaster;metro,rail,tram;true;false;2016-12-12T10:15:00;critical
16;Père lachaise (Metro);Belleville (Metro);rvbFaster;metro,rail,tram;true;false;2016-12-12T20:15:00;normal
17;Père lachaise (Metro);Belleville (Metro);rvbFaster;metro,rail,tram;true;false;2016-12-21T11:15:00;normal
18;VilleJuif-Léo-Lagrange (Metro);Place d'Italie (Metro);rvbFaster;metro,rail,tram;true;false;2016-12-9T11:15:00;normal
19;VilleJuif-Léo-Lagrange (Metro);Place d'Italie (Metro);rvbFaster;metro,rail,tram;true;false;2016-12-10T11:15:00;normal
20;VilleJuif-Léo-Lagrange (Metro);Place d'Italie (Metro);rvbFaster;metro,rail,tram;true;false;2016-12-10T22:15:00;critical
21;VilleJuif-Léo-Lagrange (Metro);Place d'Italie (Metro);rvbFaster;metro,rail,tram;true;false;2016-12-11T05:28:00;normal
22;VilleJuif-Léo-Lagrange (Metro);Place d'Italie (Metro);rvbFaster;metro,rail,tram;true;false;2016-12-11T22:15:00;critical
23;VilleJuif-Léo-Lagrange (Metro);Place d'Italie (Metro);rvbFaster;metro,rail,tram;true;false;2016-12-12T05:28:00;normal
24;VilleJuif-Léo-Lagrange (Metro);Place d'Italie (Metro);rvbFaster;metro,rail,tram;true;false;2016-12-12T22:28:00;normal
